name,abbreviation,description
Sonair,pellentesque,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis
Redhold,vestibulum,augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra
Tin,lectus,sed vestibulum sit amet cursus id turpis integer aliquet massa
Stronghold,odio,lobortis sapien sapien non mi integer ac neque duis bibendum
Konklab,enim,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in
It,nulla,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque
Otcom,odio,porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum
Bigtax,id,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl
Matsoft,arcu,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea
Opela,aliquam,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat
Tempsoft,mattis,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum
Gembucket,lectus,sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan
Bitwolf,ut,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat
Temp,sed,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus
Trippledex,lacinia,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero
Overhold,in,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui
Alphazap,donec,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra
Rank,mus,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper
Bytecard,tellus,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat
Bytecard,lectus,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce
Rank,aliquet,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est
Ventosanzap,in,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus
Sub-Ex,eget,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent
Redhold,ultrices,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci
Sonsing,adipiscing,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a
Konklux,in,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
